x_slope y_slope
-0.1442027092 -0.4062008858
-0.2550536394 -0.3159624338
0.4243023396 -0.3364429474
-0.2966524363 -0.1612008810
-0.0357582569 -0.1848917007
-0.4074954987 -0.5500174761
-0.2582913637 -0.1178590059
-0.0601985455 -0.2160850763
-0.1451487541 -0.7849069834
-0.0059385300 -0.3886663914
-0.0419441462 -0.5433000326
-0.0600435734 -0.4702067375
0.0848203897 -0.8663090467
-0.1098762751 -0.5173864365
-0.0467963219 -0.7103075981
-0.0717428923 -0.5741709471
-0.0747871399 -0.4769515991
-0.3108931780 -0.4617844820
0.1942662001 -0.5794371367
0.3785259724 -0.9121410847
-0.2276123762 -0.9853253365
0.0662339926 -1.2103552818
-0.3614109755 -1.0576215982
-0.0926245451 -0.8518571854
0.4592880011 1.1297116280
0.3868100643 0.8314687014
-0.1417183876 1.4314215183
0.5345785618 1.2222191095
-0.6305187941 1.7843912840
0.2644370794 0.9538508654
0.0244420767 1.3070173264
0.4424035549 1.6408503056
-0.0669699907 1.1209648848
-0.1587246656 0.6936511993
0.6441545486 0.9923000336
0.1924502850 1.1164827347
0.0289977789 0.7409865856
0.1368812323 0.5123163462
0.3685554266 -0.0097993612
-0.0685769320 0.8900156021
-0.7240016460 -1.8329648972
-0.5487716198 -3.6319079399
-0.3267710209 -3.5222829580
-0.5540232658 -3.8331497908
-0.1799381971 -3.8151006699
0.4019776583 -3.7372295856
0.6720691919 -3.4646703005
0.1255407333 -3.9176033735
-0.2865467072 -3.7661873102
0.1566538811 -3.9374309778
-0.0294641256 -3.9084175825
0.1129983664 -4.1520259380
-0.0071523190 -4.0916230679
0.6178755760 -3.9471024275
-0.6629024744 -4.0525891781
0.5957472324 -2.8122599125
-0.5932531357 -3.6448690891
0.2605535984 -3.2395780087
0.1323566437 -3.9857646227
0.0743526220 -3.8662638664
0.3978314400 -3.7823418379
-0.4256552458 -4.3619768620
-0.3362989426 -4.5503141880
0.4946380854 -4.4384210110
0.5925620794 -4.4678620100
0.5557652712 -4.0102039576
-0.0712792873 -3.9632101059
-0.4971351624 -4.6241149902
-0.1691880226 -4.7055705786
-0.1476109028 -4.5287072659
-0.2353376150 -4.6159460545
-0.1409021616 -4.8436614275
2.3341205120 4.7088351250
1.6634968519 4.8535012007
1.7501797676 4.8587372303
1.8309189081 4.8639575243
1.9059299231 4.8686275482
1.9759387970 4.8730045557
2.0382461548 4.8758958578
1.3722863197 4.3326718807
2.5824233294 3.7612249851
1.3552830219 3.6317667961
2.2224918604 3.6391327381
2.2795119286 3.6346776485
2.3329058886 3.6304066181
2.3833023310 3.6266430616
2.4306139946 3.6229460239
1.5903449059 3.6542788744
0.3570108414 1.9043357372
-0.3484332561 0.7550119162
-0.6656757593 1.2945288420
0.5660258532 1.5275397301
0.9963238239 0.3138415813
-1.1931809187 2.8332114220
0.7856414318 3.1643239260
0.9915353060 2.7894990444
-0.8527942896 2.8736243248
0.8112909794 3.4019275904
-0.1672352552 2.0990500450
-1.0551888943 1.8735392094
0.8237066269 1.9165577888
0.4042251110 1.9118514061
-0.5759278536 2.3757236004
-0.5496733189 3.8192378283
0.5964052677 -0.3184888363
0.7203646898 0.1795648336
0.6844134331 0.1994004250
0.3881019354 0.0442993641
0.3720144033 -0.3609598875
0.5440964699 0.0541744232
0.3334320784 0.1386951208
0.4494438171 -0.1458374262
0.3693724871 0.1868690252
0.7160691023 -0.0493199825
0.4884821177 -0.2682684660
0.6834790707 -0.1500221491
0.4617413282 -0.1785469055
0.4494787455 0.3095058203
0.7605320215 0.1222484112
0.5597610474 0.0276070833
0.4632924795 0.1623060703
0.3868392706 -0.1672978401
0.4850617647 -0.2234284878
0.3648979664 0.0256022215
0.7063379288 0.1554224491
0.1343202591 0.0365546942
0.3605337143 -0.0305800438
0.3006230593 0.0002745390
0.7393860817 -0.1685153246
0.3075820208 0.0064927340
0.5070924759 0.1593875885
0.4343962669 -0.0847880840
0.2869582176 0.3945863247
0.4734110832 -0.1465322971
0.6434949636 -0.0110136271
0.5174072981 -0.1502150297
0.5397996902 -0.3118185997
0.1295042038 -0.1597058773
0.4450017214 0.0584107637
0.2084106207 0.0713014603
0.3076343536 0.1237227917
0.6608884335 0.1223438978
0.6548498869 -0.0368059874
0.6963412762 -0.2358015776
0.4981789589 0.2524635792
0.2590616941 -0.0680351257
0.5426479578 0.2293074131
0.7053359747 0.1261851788
0.2044104338 0.3856719732
0.6146463156 0.1058816910
0.4971373081 -0.0303392410
0.2487338781 -0.0363397598
0.1382943392 0.5688446760
0.1863907576 0.5462083817
0.5813120604 0.0599480867
0.4388885498 0.4414194822
0.5134236813 0.8649328947
0.1932767630 0.0908389091
0.6625983715 -0.2874989510
0.5196862221 0.0494029522
0.3778768778 -0.0592031479
0.0193718672 -0.2899831533
0.4511245489 -0.1170890331
0.1428109407 0.5135450363
0.4972128868 0.2934161425
0.3961137533 0.3420164585
0.4687931538 1.0028429031
0.0000000000 0.0000000000
